,Rodada,level,apostar,acerto,contagem,i,media5,media10,media20,media40,media80,media160,media320,media640
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,1.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,1.0,0.0,0.0,0.0,1.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,1.0,1.0,1.0,1.0,2.0,3.2,3.1,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,1.0,1.0,1.0,2.0,3.0,2.4,3.2,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,1.0,1.0,1.0,3.0,6.0,1.6,3.3,0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,1.0,0.0,0.0,3.0,1.0,2.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,1.0,1.0,1.0,4.0,2.0,2.6,3.3,0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,1.0,1.0,1.0,5.0,3.0,2.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17.0,1.0,1.0,1.0,6.0,6.0,3.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0
18,18.0,1.0,1.0,1.0,7.0,4.0,3.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0
19,19.0,1.0,1.0,1.0,8.0,9.0,3.2,2.9,0.0,0.0,0.0,0.0,0.0,0.0
20,20.0,1.0,0.0,0.0,8.0,8.0,4.8,3.7,0.0,0.0,0.0,0.0,0.0,0.0
21,21.0,1.0,1.0,2.0,6.0,1.0,6.0,4.4,3.75,0.0,0.0,0.0,0.0,0.0
22,22.0,1.0,1.0,1.0,7.0,3.0,5.6,4.3,3.75,0.0,0.0,0.0,0.0,0.0
23,23.0,1.0,1.0,1.0,8.0,6.0,5.0,4.3,3.8,0.0,0.0,0.0,0.0,0.0
24,24.0,1.0,1.0,1.0,9.0,7.0,5.4,4.3,3.95,0.0,0.0,0.0,0.0,0.0
25,25.0,1.0,1.0,1.0,10.0,5.0,5.0,4.9,4.1,0.0,0.0,0.0,0.0,0.0
26,26.0,1.0,1.0,1.0,11.0,69.0,4.4,5.2,4.1,0.0,0.0,0.0,0.0,0.0
27,27.0,1.0,0.0,0.0,11.0,1.0,18.0,11.8,7.25,0.0,0.0,0.0,0.0,0.0
