epoch_accuracies,epoch_directional_accuracies,epoch_weighted_directional_accuracies
1.9909,3.9622,5.9531
2.0031,3.9649,5.968
1.999,3.9619,5.9609
1.9716,3.9611,5.9327
2.0079,3.9625,5.9704
1.9737,3.9616,5.9353
1.9906,3.9616,5.9522
2.0076,3.9599,5.9675
2.0357,3.9613,5.997
2.0659,3.9602,6.0261
2.0719,3.9613,6.0332
2.0078,3.9604,5.9682
2.0475,3.9583,6.0058
2.0475,3.9624,6.0099
2.0387,3.9654,6.0041
1.97,3.9645,5.9345
2.0409,3.9612,6.0021
2.0022,3.9611,5.9633
2.1726,3.9587,6.1313
2.0659,3.9619,6.0278
2.1211,3.9613,6.0824
2.1205,3.9657,6.0862
2.1049,3.9637,6.0686
2.1265,3.9615,6.088
2.0829,3.9594,6.0423
